country,iso_code,year,external_debt_pct_gni,debt_service_pct_exports,gdp_growth_pct,reserves_months_imports,inflation_pct,score_debt_gni,score_debt_service,score_gdp_growth,score_reserves,score_inflation,indicators_available,debt_risk_score,trend_slope,years_used,risk_tier
Lebanon,LBN,2024,,21.04734596175,-7.07989192861814,,45.2430422716718,,80.39353478566409,97.14719783929776,,98.664915736485,3,92.0685494538156,4.482017487217529,5.0,High Risk
Lesotho,LSO,2024,65.3503315479921,6.88637904028134,5.22503380336101,5.53505392293476,6.10544624245032,72.64588859416446,32.08011243851019,30.013504388926407,33.37719298245614,69.99343401181878,5,47.62202648317519,0.003441462626303405,5.0,Moderate Risk
Liberia,LBR,2024,50.457044003161,9.14927792628863,4.02185464964835,2.01571374383087,8.21497439118964,58.65384615384615,43.18341531974701,44.12559081701553,80.37280701754386,79.88618953819217,5,61.24436976926895,2.2347551977459577,5.0,Elevated Risk
Lithuania,LTU,2024,,,3.03019543767596,1.38519704933976,0.715735835228723,,,56.92099932478055,87.87280701754386,13.591595535128038,3,52.79513395915082,-1.1038396848176009,5.0,Elevated Risk
Low & middle income,LMY,2024,23.4026934977111,13.0600698755122,4.42439890311286,9.10573620417206,,19.79442970822281,59.59241040056219,38.63943281566509,13.596491228070178,,4,32.905691038130065,-0.8238664603218544,5.0,Moderate Risk
Luxembourg,LUX,2024,,,0.358614003982225,0.0600500731872155,2.05113269954859,,,82.88318703578663,99.3640350877193,30.42241190632524,3,70.88987800994373,2.4089232368513653,5.0,Elevated Risk
"Macao SAR, China",MAC,2024,,,7.84960207010525,9.00280543481808,0.672498598854365,,,10.550303848750843,13.96929824561404,13.131976362442549,3,12.550526152269144,0.46303931729672493,5.0,Low Risk
Madagascar,MDG,2024,39.2117046150763,7.17223697747634,4.32283728087992,5.50471378808998,7.61335784313723,45.35809018567639,33.59100491918482,40.0067521944632,33.684210526315795,77.47866053841102,5,46.02374367281025,5.359369263182726,5.0,Moderate Risk
Malawi,MWI,2024,35.2492254102013,10.5586545915916,1.6734340852915,,32.1796504225025,39.02519893899205,49.929725931131415,72.26536124240378,,97.74567739111404,4,64.74149087591032,8.051493559518278,5.0,Elevated Risk
Malaysia,MYS,2024,,,5.10545921024041,4.45057833503038,1.834100204499,,,31.12761647535449,47.39035087719298,27.664696870212303,3,35.39422140758659,-3.3987983563662323,5.0,Moderate Risk
Maldives,MDV,2024,75.5586486708217,9.18470294592451,3.49440422654285,1.30326255855386,1.39979779674928,81.23342175066313,43.32396345748419,50.89466576637407,88.7719298245614,21.427008098052088,5,57.13019777942698,-2.0308715425307993,5.0,Elevated Risk
Mali,MLI,2024,24.9435630803084,6.16273727116764,5.01653579205785,,3.2063986409966,22.579575596816976,28.601546029515102,32.14044564483457,,46.13701028671482,4,32.36464438947037,-2.3499106289743454,5.0,Moderate Risk
